"Name","Security ID","Security Type","Sector","Country","CCY","Collateral Form","Collateral Code","Market Price"
"Aceto Corp.","004446AC4","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","47"
"Advanced Micro Devices, Inc.","007903BD8","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","47"
"Aegean Marine Petroleum Network, Inc.","Y0020QAA9","CUSIP","Energy","Greece","USD","Corporate Bonds","CB","19"
"Air Lease Corp.","00912X302","CUSIP","Industrials","United States","USD","Common Stocks","CS","48"
"Air Lease Corp.","00912XAK0_S","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","22"
"Akamai Technologies, Inc.","00971TAG6","CUSIP","Information Technology","United States","USD","Corporate Bonds","CB","17"
"Allergan PLC","G0177J108","CUSIP","Health Care","United States","USD","Common Stocks","CS","19"
"Allscripts Healthcare Solutions, Inc.","01988PAD0","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","17"
"Alphabet, Inc., Class C","02079K107","CUSIP","Information Technology","United States","USD","Common Stocks","CS","11"
"Altra Industrial Motion Corp.","02208RAE6","CUSIP","Industrials","United States","USD","Corporate Bonds","CB","44"
"AMAG Pharmaceuticals, Inc.","00163UAA4","CUSIP","Health Care","United States","USD","Corporate Bonds","CB","37"
"Amaya, Inc.","02314M959","CUSIP","Consumer Discretionary","Canada","CAD","Common Stocks","CS","34"
"American Homes 4 Rent REIT","02665T306_S","CUSIP","Real Estate","United States","USD","Common Stocks","CS","13"
"AmTrust Financial Services, Inc.","032359AG6","CUSIP","Financials","United States","USD","Corporate Bonds","CB","22"
"Aon PLC","G0408V102","CUSIP","Financials","United States","USD","Common Stocks","CS","17"
"ARBOR REALTY TRUST, Inc. SR UNSECURED 10/19 6.5","038923AA6","CUSIP","Financials","United States","USD","Corporate Bonds","CB","30"
"Ascent Capital Group, Inc.","043632AA6","CUSIP","Consumer Discretionary","United States","USD","Corporate Bonds","CB","40"
"AT&T, Inc.","00206R102","CUSIP","Telecommunications Services","United States","USD","Common Stocks","CS","37"
"AutoZone, Inc.","53332102","CUSIP","Consumer Discretionary","United States","USD","Common Stocks","CS","44"
